codigo_ibge;municipio;latitude;longitude;capital;codigo_uf;estado;siafi_id;ddd;fuso_horario
5205000;Carmo do Rio Verde;-153549;-49708;0;52;Goiás;9299;62;America/Sao_Paulo
1703883;Carmolândia;-703262;-483978;0;17;Tocantins;175;63;America/Sao_Paulo
2801504;Carmópolis;-106449;-369887;0;28;Sergipe;3129;79;America/Sao_Paulo
3114501;Carmópolis de Minas;-205396;-446336;0;31;Minas Gerais;4289;37;America/Sao_Paulo
2603900;Carnaíba;-779342;-377946;0;26;Pernambuco;2377;87;America/Sao_Paulo
2402402;Carnaúba dos Dantas;-655015;-365868;0;24;Rio Grande do Norte;1647;84;America/Sao_Paulo
2402501;Carnaubais;-534181;-368335;0;24;Rio Grande do Norte;1649;84;America/Sao_Paulo
2303402;Carnaubal;-415985;-409413;0;23;Ceará;1367;88;America/Sao_Paulo
2603926;Carnaubeira da Penha;-831799;-387512;0;26;Pernambuco;2635;87;America/Sao_Paulo
3114550;Carneirinho;-196987;-506894;0;31;Minas Gerais;2685;34;America/Sao_Paulo
2701803;Carneiros;-948476;-373773;0;27;Alagoas;2735;82;America/Sao_Paulo
1400233;Caroebe;884203;-596959;0;14;Roraima;30;95;America/Porto_Velho
2102804;Carolina;-733584;-474634;0;21;Maranhão;753;99;America/Sao_Paulo
2604007;Carpina;-784566;-352514;0;26;Pernambuco;2379;81;America/Sao_Paulo
3114600;Carrancas;-214898;-446446;0;31;Minas Gerais;4291;35;America/Sao_Paulo
2504108;Carrapateira;-703414;-383399;0;25;Paraíba;1983;83;America/Sao_Paulo
1703891;Carrasco Bonito;-531415;-480314;0;17;Tocantins;177;63;America/Sao_Paulo
2604106;Caruaru;-828455;-359699;0;26;Pernambuco;2381;81;America/Sao_Paulo
2102903;Carutapera;-119696;-460085;0;21;Maranhão;755;98;America/Sao_Paulo
3114709;Carvalhópolis;-217735;-458421;0;31;Minas Gerais;4293;35;America/Sao_Paulo
3114808;Carvalhos;-22;-444632;0;31;Minas Gerais;4295;35;America/Sao_Paulo
3510807;Casa Branca;-217708;-470852;0;35;São Paulo;6317;19;America/Sao_Paulo
3114907;Casa Grande;-207925;-439343;0;31;Minas Gerais;4297;31;America/Sao_Paulo
2907202;Casa Nova;-916408;-40974;0;29;Bahia;3443;74;America/Sao_Paulo
4304903;Casca;-285605;-519815;0;43;Rio Grande do Sul;8595;54;America/Sao_Paulo
3115003;Cascalho Rico;-185772;-478716;0;31;Minas Gerais;4299;34;America/Sao_Paulo
4104808;Cascavel;-249573;-53459;0;41;Paraná;7493;45;America/Sao_Paulo
2303501;Cascavel;-412967;-382412;0;23;Ceará;1369;85;America/Sao_Paulo
1703909;Caseara;-927612;-499521;0;17;Tocantins;9717;63;America/Sao_Paulo
4304952;Caseiros;-282582;-516861;0;43;Rio Grande do Sul;8441;54;America/Sao_Paulo
3301306;Casimiro de Abreu;-224812;-422066;0;33;Rio de Janeiro;5825;22;America/Sao_Paulo
